id,cname,planting,harvest,wsgd,gwad
14838,Ulanga,2022-01-13,2022-06-05,0,4245
14839,Ulanga,2022-01-19,2022-06-05,0,3453
14840,Ulanga,2022-01-14,2022-06-05,0,4190
14841,Ulanga,2022-02-15,2022-06-22,0,2970
14842,Ulanga,2022-01-31,2022-06-22,0.395,4087
14843,Ulanga,2022-01-24,2022-06-22,0,4082
14844,Ulanga,2022-02-20,2022-06-22,0,2475
14845,Ulanga,2022-02-05,2022-06-22,0,3861
14846,Ulanga,2022-02-03,2022-06-22,0.063,4059
14847,Ulanga,2022-02-03,2022-06-22,0.383,3971
14848,Ulanga,2022-02-09,2022-06-22,0.361,3344
14849,Ulanga,2022-02-07,2022-06-22,0,3564
14850,Ulanga,2022-01-26,2022-06-22,0.1,4209
14851,Ulanga,2022-02-20,2022-06-22,0.443,2409
14852,Ulanga,2022-01-23,2022-06-20,0,4093
14853,Ulanga,2022-02-17,2022-06-22,0,2772
14854,Ulanga,2022-02-02,2022-06-22,0.427,3989
14855,Ulanga,2022-02-08,2022-06-22,0.473,3305
14856,Ulanga,2022-02-19,2022-06-22,0.419,2523
14857,Ulanga,2022-02-05,2022-06-22,0.355,3816
14858,Ulanga,2022-02-11,2022-06-22,0,3366
14859,Ulanga,2022-01-23,2022-06-20,0.414,4067
14860,Ulanga,2022-02-20,2022-06-22,0.403,2446
14861,Ulanga,2022-02-11,2022-06-22,0.207,3366
14862,Ulanga,2022-02-03,2022-06-22,0.252,4059
14863,Ulanga,2022-01-22,2022-06-19,0,4084
14864,Ulanga,2022-02-12,2022-06-22,0.497,2925
14865,Ulanga,2022-01-26,2022-06-22,0.172,4209
14866,Ulanga,2022-02-07,2022-06-22,0,3564
14867,Ulanga,2022-02-03,2022-06-22,0.444,3820
14868,Ulanga,2022-01-27,2022-06-22,0,4230
14869,Ulanga,2022-02-03,2022-06-22,0.435,3848
14870,Ulanga,2022-01-31,2022-06-22,0.401,4085
14871,Ulanga,2022-02-19,2022-06-22,0.044,2574
14872,Ulanga,2022-02-19,2022-06-22,0.124,2574
14873,Ulanga,2022-01-26,2022-06-22,0,4209
14874,Ulanga,2022-02-09,2022-06-22,0,3366
14875,Ulanga,2022-02-12,2022-06-22,0.487,3036
14876,Ulanga,2022-01-23,2022-06-20,0.389,4082
14877,Ulanga,2022-02-11,2022-06-22,0,3366
14878,Ulanga,2022-01-27,2022-06-22,0,4230
